"Index","PKO","PZU","PEO","KGH","PKN","PGE","PGN","BZW","LPP","MBK","OPL","EUR","TPE","LWB","CPS","JSW","ACP","ING","BHW","ALR","ATT","KER","SNS","CCC","LTS","GTC","ENA","TVN","NET","BRS","ENG","PKP","CDR","MIL","KRU","DNP","PLY"
"2013-09-20",10,10,10,8.34,7.42,5.94,5.56,5.02,3.57,3.05,2.71,2.55,2.53,1.98,1.97,1.94,1.88,1.77,1.74,1.64,1.64,1.36,1.2,1.14,1.11,1.03,0.98,0.94,0.8,0.2,NA,NA,NA,NA,NA,NA,NA
"2013-12-20",10,10,10,8.47,6.73,6.4,4.6,5.25,4.17,3.26,3.22,1.83,2.62,1.93,1.89,1.75,1.88,1.83,1.94,1.36,1.85,1.02,1.28,1.43,1.14,0.92,0.95,1.24,0.81,0.23,NA,NA,NA,NA,NA,NA,NA
"2014-03-21",10,10,10,7.96,6.41,6.26,4.02,5.91,4.36,3.48,3.62,1.7,2.38,2.27,1.77,1.3,1.84,2.07,1.8,1.94,1.27,0.99,1.32,1.4,1.14,0.89,1.43,1.33,0.9,0.25,NA,NA,NA,NA,NA,NA,NA
"2014-06-20",10,10,10,7.51,7.06,7.53,3.86,5.24,3.67,3.19,3.37,1.42,2.81,2.12,1.75,1.1,1.7,2.23,1.85,1.8,1.37,0.69,1.19,1.41,1.19,0.94,1.65,1.35,NA,0.19,1.82,NA,NA,NA,NA,NA,NA
"2014-09-19",10,10,10,8.86,5.8,8.19,3.99,5.1,3.67,3.04,3.37,1.38,2.68,1.97,1.98,1.11,1.58,2.16,1.8,1.65,1.51,0.71,1.13,1.22,1.12,0.87,1.64,1.14,NA,0.29,2.04,NA,NA,NA,NA,NA,NA
"2014-12-19",10,10,10,8.21,6.02,7.96,3.79,5.36,5.95,2.97,3.03,1.2,2.54,1.76,2.56,0.71,1.73,2.1,1.72,1.59,1.19,0.6,0.96,1.32,0.73,0.69,1.59,1.12,NA,0.28,2.33,NA,NA,NA,NA,NA,NA
"2015-03-20",10,10,10,7.01,8.29,7.38,3.48,5.11,4.68,2.94,2.83,1.4,2.54,1.62,2.51,0.54,2.01,2.14,1.72,1.93,1.42,0.74,1.04,1.65,1.03,0.56,1.72,1.39,NA,0.27,2.06,NA,NA,NA,NA,NA,NA
"2015-06-19",10,10,10,7.49,9.22,7.01,4.6,4.9,4.25,2.6,2.87,1.24,2.18,1.3,2.34,0.33,1.97,2.01,1.62,2.07,1.46,0.73,1.02,1.85,1.16,0.64,1.52,1.19,NA,0.27,2.18,NA,NA,NA,NA,NA,NA
"2015-09-18",10,10,10,6.26,10,6.66,4.95,4.41,4.76,2.35,2.54,1.64,1.91,0.86,2.39,0.3,2.09,1.97,1.46,2.27,1.68,1.02,1.13,2.25,1.32,0.45,1.52,1.55,NA,0.29,1.97,NA,NA,NA,NA,NA,NA
"2015-12-18",10,10,10,6.28,9.97,5.74,5.72,4.85,4.78,2.4,2.35,2.09,1.62,0.24,2.74,0.36,2.19,2.02,1.32,2.26,1.93,1.3,0.94,2.19,1.26,0.54,1.41,NA,NA,NA,1.7,0.94,0.88,NA,NA,NA,NA
"2016-03-18",10,10,10,5.34,10,6.14,4.97,5.06,3.84,2.58,2.35,2.53,1.57,0.23,2.87,0.34,2.51,2.21,NA,2,2.28,1.37,1.19,1.98,1.29,0.73,1.38,NA,NA,NA,1.5,0.77,0.85,2.1,NA,NA,NA
"2016-06-17",10,10,10,5.21,10,5.76,5.65,4.9,4.04,2.4,2.39,2.39,1.63,0.28,2.92,0.49,2.48,2.39,NA,1.71,1.81,1.53,1.18,2.57,1.66,0.76,1.34,NA,NA,NA,1.23,0.53,1.06,1.7,NA,NA,NA
"2016-09-16",10,9.16,10,6,10,5.35,5.41,5.33,3.4,2.67,1.92,2.05,1.74,0.35,2.91,0.86,2.37,2.63,NA,2.74,1.6,1.57,1.11,2.71,1.43,0.72,1.23,NA,NA,NA,0.95,0.65,1.34,1.81,NA,NA,NA
"2016-12-16",10,9.22,10,6.45,10,4.39,4.38,5.23,3.85,2.51,1.95,1.69,1.51,0.47,2.98,2.56,2.23,2.72,NA,2.25,1.28,1.7,1.22,2.78,1.67,0.86,1.13,NA,NA,NA,0.83,0.8,1.52,1.84,NA,NA,NA
"2017-03-17",10,9.69,10,7.98,10,4.25,4.3,4.93,3.21,2.41,1.43,1.32,1.42,NA,2.28,1.65,1.89,2.62,NA,2.7,1.34,1.75,1.29,2.46,1.79,0.71,1.06,NA,NA,NA,0.93,0.79,2.13,1.89,1.78,NA,NA
"2017-06-16",10,10,9.92,6.98,10,4.09,4.6,4.68,3.65,2.46,1.34,1.1,1.54,NA,2.51,1.7,1.7,2.62,NA,2.93,1.23,1.48,1.09,2.52,2.16,0.74,1.07,NA,NA,NA,0.89,0.81,1.98,1.94,2.27,NA,NA
"2017-09-15",10,10,8.35,6.91,10,4.78,4.53,4.53,4.25,2.3,1.56,1.12,1.67,NA,2.42,2.04,1.41,2.73,NA,2.32,1.37,1.32,0.9,2.77,1.88,0.71,1.44,NA,NA,NA,1.17,0.79,2.49,1.83,2.43,NA,NA
"2017-12-15",10,10,8.43,6.52,10,4.09,4.23,5.01,4.5,2.56,1.51,0.93,1.37,NA,2.27,2.05,1.37,2.81,NA,2.68,1.43,0.94,1.01,3.14,2.29,0.71,1.07,NA,NA,NA,1.01,0.71,3.2,2.14,2.02,NA,NA
"2018-03-16",10,10,8.44,6.14,10,3.61,4.19,4.79,5.03,2.53,1.56,0.83,1.22,NA,2.58,2.15,1.36,2.74,NA,3,1.23,0.86,NA,3.08,2.03,NA,0.94,NA,NA,NA,1.02,0.73,3.06,2.23,1.48,1.63,1.52
